Worker,Time (seconds),Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Would you kill another person if your life depended on it?,Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often you remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married
AZZ9ZKSRQUN4O,618,Coimbatore,Male,31-35,Would,Nothing. Game over.,Environment,Constantly,Music/Art,Bad,I do,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,Nothing - I'm all good,Some of my time,Exactly in the middle,2,Mom,Would,Middle,I don't have a pet,Neither trustworthy or untrustworthy,Do,More,Home,Yes,Neither safe nor scary,Photo album,No,Mitt Romney,4-6 hours,Naturally,Seldom,Seldom,Other,Would not,No,Yes,Yes,No,No,No,I don't have a pet,Personality,21-30
A232DYGFQXUCS8,484,Mumbai,Female,26-30,Would,I will go to heaven or hell,Proper diet,Constantly,Music/Art,Good,I do,3,Yes,Married,Computer,Very Obedient,Immunity,Somewhat Strict,Better job,Some of my time,Very pessimisitc,2,Mom,Would,Middle,Playmate,Somewhat trustworthy,Do,More,Work,Yes,Very safe,Jewelry,No,Barack Obama,4-6 hours,Naturally,Often,Often,Other,Would not,Yes,Yes,Yes,No,No,Yes,No,Personality,21-30
A39980PKUJE4NS,395,Madurai @ Tamilnadu @ India,Female,26-30,Would,I will go to heaven or hell,Genes,Constantly,Music/Art,Good,I do,2,Yes,Married,Computer,Very Independent,Immunity,Very Strict,Better job,Most of my time,Very pessimisitc,5+,Mom,Would,Middle,Mother or father,Somewhat trustworthy,Do,More,Home,Yes,Very scary,Electronics,Yes,Barack Obama,Less than 4 hours,Naturally,Often,Often,Flying,Would,Yes,Yes,Yes,Yes,Yes,Yes,No,Intelligence,21-30
A3R15KUHGH0T27,1152,Hyderabad,Female,26-30,Would not,My spirit will return to some universal entity,Environment,Constantly,Music/Art,Bad,I do,3,No,Married,TV,A little of both,Nothing,Exactly in the middle,Nothing - I'm all good,Most of my time,Exactly in the middle,2,Mom,Would,Oldest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,I don't feel completely safe anywhere,Yes,Somewhat safe,Other,No,Barack Obama,4-6 hours,With an Alarm clock,Often,Seldom,Being unprepared for something,Would not,No,No,Yes,No,Yes,Yes,Yes,Personality,21-30
A302BIYX2KNW67,602,"Greater Hyderabad Municipal Corporation, Andhra Pradesh, India",Female,31-35,Would not,My spirit will return to some universal entity,Environment,Sometimes,Prayer,Bad,I do,3,No,Married,Newspapers/Magazines,A little of both,Intelligence,Somewhat Strict,Better health,Some of my time,Exactly in the middle,2,Dad,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do,More,Home,Yes,Very safe,Money,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Being unprepared for something,Would,No,No,No,No,No,No,I don't have a pet,Nothing,21-30
A1DWZUHM66RHMR,1006,Hyderabad,Male,21-25,Would not,Nothing. Game over.,Proper diet,Constantly,Music/Art,Bad,I do,2,Yes,Single,TV,Somewhat Independent,Intelligence,Exactly in the middle,Nothing - I'm all good,Not much of my time,Exactly in the middle,2,Both about equally,Would,Middle,Playmate,Somewhat trustworthy,Do,The same,Home,Yes,Somewhat scary,Money,No,Mitt Romney,6-8 hours,Naturally,Seldom,Seldom,Other,Would not,No,Yes,No,No,No,Yes,Yes,Personality,I'm not married
A2NAKCP9XGKVTI,268,Madurai,Female,Under 20,Would,I will go to heaven or hell,Exercise,Constantly,Exercise,Bad,I do not,2,No,Single,Computer,A little of both,Intelligence,Somewhat Strict,Better job,Most of my time,Exactly in the middle,2,Dad,Would,Youngest,Can-opener,Very trustworthy,Do,More,Church/Temple/Mosque,No,Somewhat safe,Jewelry,Yes,Mitt Romney,6-8 hours,From a Rooster,Often,Never,Being naked in public,Would not,No,Yes,No,No,Yes,Yes,No,Intelligence,Under 20
A1H5HRUHCNX39A,523,Tirupur,Female,21-25,Would,My spirit will return to some universal entity,Exercise,Sometimes,Music/Art,Bad,I do,4,No,Single,Computer,Very Obedient,Immunity,Exactly in the middle,Better job,Some of my time,Somewhat pessimistic,1,Both about equally,Would,Youngest,Mother or father,Very untrustworthy,Do,The same,Home,Yes,Very safe,Other,No,Barack Obama,6-8 hours,Naturally,Often,Often,Other,Would,No,Yes,Yes,Yes,No,Yes,I don't have a pet,Looks,21-30
A2D2GIAUSPACPO,354,Sivakasi,Male,26-30,Would,I will go to heaven or hell,Exercise,Sometimes,Work,Bad,I do not,2,Yes,Married,Computer,Somewhat Obedient,Lifespan,Very Strict,Better health,Some of my time,Very pessimisitc,3,Both about equally,Would,Middle,Mother or father,Neither trustworthy or untrustworthy,Do,Less,School,Yes,Somewhat scary,Photo album,No,Barack Obama,6-8 hours,Naturally,Seldom,Seldom,Falling,Would,Yes,No,Yes,No,Yes,Yes,No,Looks,21-30
A2R2SRVTIP1ZXY,584,karur and Tamilnadu/India,Female,26-30,Would,Nothing. Game over.,Proper diet,Once in a while,Family/friends,Bad,I do,2,No,Married,TV,A little of both,Nothing,Very Lenient,Nothing - I'm all good,Not much of my time,Exactly in the middle,3,Mom,Would,I don't have siblings,I don't have a pet,Neither trustworthy or untrustworthy,Do not,The same,Home,Yes,Very safe,Other,No,Mitt Romney,6-8 hours,By my Child/Children,Seldom,Seldom,Other,Would not,No,Yes,No,No,No,Yes,I don't have a pet,Nothing,21-30
A2TGB60576M2B,511,Hyderabad,Female,21-25,Would,I will go to heaven or hell,Environment,Sometimes,Music/Art,Bad,I do,3,No,Single,Computer,Somewhat Independent,Intelligence,Exactly in the middle,Better job,Some of my time,Somewhat optimistic,2,Dad,Would,Middle,Can-opener,Somewhat trustworthy,Do,The same,Home,Yes,Very safe,Photo album,Yes,Barack Obama,6-8 hours,With an Alarm clock,Never,Seldom,Being chased,Would not,No,No,Yes,Yes,No,Yes,Yes,Intelligence,21-30
A38FI7WW5NDW9B,585,Pathanamthitta district,Female,26-30,Would,My spirit will return to some universal entity,Religion,Sometimes,Prayer,Bad,I do,2,No,Married,Computer,Very Obedient,Appearance,Very Strict,More Money,None of my time,Exactly in the middle,5+,Dad,Would,Youngest,I don't have a pet,Very untrustworthy,Do,More,Home,Yes,Very scary,Other,No,Barack Obama,6-8 hours,By my Child/Children,Seldom,Often,Other,Would,No,Yes,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
A362G67WPQAOEL,546,Karur,Male,21-25,Would not,I will go to heaven or hell,Proper diet,Never,Music/Art,Bad,I do,2,Yes,Single,Computer,Somewhat Obedient,Immunity,Exactly in the middle,Better job,Some of my time,Exactly in the middle,2,Dad,Would,Youngest,Playmate,Very untrustworthy,Do,More,Home,Yes,Neither safe nor scary,Photo album,No,Barack Obama,4-6 hours,With an Alarm clock,Often,Never,Flying,Would,No,No,No,No,Yes,Yes,I don't have a pet,Nothing,I'm not married
A2NLXSVTS2UJ55,726,Mumbai,Female,31-35,Would not,My spirit will return to some universal entity,Proper diet,Sometimes,Music/Art,Bad,I do not,2,No,Married,Computer,A little of both,Intelligence,Exactly in the middle,More Money,Most of my time,Somewhat pessimistic,3,Both about equally,Would,Youngest,I don't have a pet,Neither trustworthy or untrustworthy,Do not,Less,Home,Yes,Very safe,Other,No,Barack Obama,4-6 hours,Naturally,Often,Seldom,Falling,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Personality,21-30
A3HH4LW4MMVHE1,718,Thiruvananthapuram,Male,36-40,Would,My spirit will return to some universal entity,Proper diet,Constantly,Family/friends,Bad,I do,2,Yes,Married,Newspapers/Magazines,Very Obedient,Intelligence,Somewhat Strict,Better job,Not much of my time,Exactly in the middle,3,Mom,Would,Middle,Playmate,Somewhat untrustworthy,Do not,Less,Home,Yes,Neither safe nor scary,Other,Yes,Barack Obama,4-6 hours,With an Alarm clock,Often,Often,Being unprepared for something,Would not,No,No,No,No,No,No,Yes,Looks,21-30
A34C3XBKU2UBBI,603,Madurai,Male,36-40,Would,I will go to heaven or hell,Environment,Constantly,Prayer,Bad,I do,3,Yes,Married,Newspapers/Magazines,Somewhat Independent,Immunity,Very Strict,More Money,Most of my time,Somewhat optimistic,3,Both about equally,Would,Youngest,Owner/master,Somewhat trustworthy,Do,More,Home,Yes,Somewhat safe,Photo album,No,Mitt Romney,4-6 hours,Naturally,Seldom,Seldom,Flying,Would,Yes,No,Yes,Yes,Yes,Yes,Yes,Personality,31-40
A2243K88W25QKB,240,Kochi,Male,Under 20,Would not,I will go to heaven or hell,Exercise,Sometimes,Prayer,Bad,I do,2,No,Single,TV,Somewhat Obedient,Intelligence,Very Strict,Better health,Not much of my time,Exactly in the middle,2,Dad,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,School,Yes,Somewhat safe,Money,Yes,Mitt Romney,More than 8 hours,Naturally,Seldom,Seldom,Falling,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Personality,I'm not married
A123O5ZRPVIQBN,790,Kolkata,Male,51+,Would,Nothing. Game over.,Genes,Sometimes,Exercise,Bad,I do,3,No,Married,Newspapers/Magazines,Very Independent,Intelligence,Somewhat Strict,More Free time,Not much of my time,Very optimistic,1,Dad,Would,Middle,I don't have a pet,Somewhat untrustworthy,Do,Less,Home,Yes,Very safe,Money,No,Barack Obama,4-6 hours,Naturally,Seldom,Never,Other,Would not,No,No,No,No,Yes,Yes,I don't have a pet,Personality,21-30
A31FL34EAWLXOV,632,Tiruchirapalli ,Female,21-25,Would,I will go to heaven or hell,Exercise,Constantly,Music/Art,Bad,I do,2,No,Married,Computer,A little of both,Immunity,Exactly in the middle,More Money,Not much of my time,Exactly in the middle,2,Mom,Would,Youngest,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Somewhat safe,Jewelry,No,Mitt Romney,6-8 hours,With an Alarm clock,Seldom,Seldom,Other,Would not,No,Yes,Yes,No,No,Yes,I don't have a pet,Looks,21-30
A17E8485688ZP6,551,India,Male,26-30,Would not,I will go to heaven or hell,Proper diet,Constantly,Music/Art,Bad,I do,3,No,Married,Computer,Very Independent,Immunity,Somewhat Strict,Better health,Not much of my time,Somewhat optimistic,3,Dad,Would,Middle,I don't have a pet,Somewhat trustworthy,Do,More,Home,Yes,Neither safe nor scary,Money,Yes,Barack Obama,6-8 hours,By a Family member,Seldom,Seldom,Being unprepared for something,Would not,Yes,No,Yes,No,No,Yes,I don't have a pet,Nothing,21-30
