Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
,male,23,would,My spirit will return home,Environment,Constantly,Music/Art,bad,Do,4,did,Cohabitating,Computer,Obedient,Immunity,Strict,Better health,1,Optimistic,4,Mom,would,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would,Have not,Do not,have,would,is not,is,No,Nothing,0,,
,,,would,My spirit will return home,Environment,At times,Family/Friends,bad,,2,did,Single,Other people,,,,,,,,,,,,,,,,,,,,7,Alarm clock,Seldom,Often,Other,Would not,Have not,Do,,,,,,,,,
London,male,24,would,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do,1,did,Cohabitating,TV,Obedient,Nothing,Strict,Better romance,3,Optimistic,1,Both about equally,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Money,Barack Obama,7,Alarm clock,Seldom,Never,Other,Would not,Have not,Do,have,would,is not,is,Yes,Nothing,,,
,male,39,would,I will go to heaven or hell,Exercise,,,,,,did not,Married,Computer,,Intelligence,,,,,,,,,,,,,,,,,,0,Family member,,,,,,,have,,,is,,,,,
,,,would,Nothing. Game over.,Genes,Sometimes,Music/Art,bad,Do,3,did,Married,Computer,Obedient,,Strict,,9,Optimistic,2,Neither,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Other,,6,Family member,Seldom,Often,Being unprepared,Would,Have not,Do not,have not,would,,is,,,22,,
Bellingham Washington United States,male,22,would,Nothing. Game over.,Proper diet,At times,Exercise,good,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,Better health,2,Optimistic,2,Dad,would,Middle,Playmate,Untrustworthy,Do,More,School,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Flying,Would,Have not,Do,have not,would,is not,is,No,Nothing,24,,
Se�,female,37,,Nothing. Game over.,,Never,Exercise,,,,did not,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,male,22,,,,,,,Do,,,,,,,,,,,,,,,,,Do,,Home,,Do,Other,,,,,,,,,,have,would not,is not,is,,Nothing,,,
?????  ????,female,37,would,Nothing. Game over.,Exercise,Constantly,Family/Friends,bad,Do,2,did not,Married,Computer,,Immunity,Strict,Better health,3,,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,5,Alarm clock,Often,Never,Other,Would not,Have not,Do not,have,would not,is not,is not,Yes,Looks,29,,
Fresno,female,41,would,I will be reincarnated,Proper diet,At times,Music/Art,bad,Do not,1,did,Married,TV,Obedient,Intelligence,Strict,More money,2,Optimistic,2,Both about equally,would not,I don't have any siblings,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,4,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have,would,is not,is,No,Nothing,38,,
San Francisco California United States,male,68,would,Nothing. Game over.,Exercise,Constantly,Exercise,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,3,Optimistic,1,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have,would not,is not,is,No,Nothing,24,,
London  United Kingdom,male,27,would,I will go to heaven or hell,Exercise,Sometimes,Family/Friends,bad,Do not,4,did not,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,11,Optimistic,3,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Often,Often,Other,Would not,Have,Do not,have not,would,is not,is,Yes,Nothing,0,,
Cork Ireland,female,26,would,I will go to heaven or hell,Genes,Constantly,Work,good,Do,30,did not,Cohabitating,Computer,,Lifespan,,More money,60,,3,Mom,would,Oldest,Owner,,Do,,Home,,Do,Jewelry,Barack Obama,50,Alarm clock,Often,Often,Falling,Would,Have not,Do,have,would,is not,is,Yes,Nothing,28,,
??? ??? ??,male,24,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,bad,Do,2,did not,Single,Computer,Obedient,Nothing,Strict,More free time,3,Optimistic,4,Mom,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Mitt Romney,8,Alarm clock,Often,Seldom,Being unprepared,Would not,Have not,Do not,have not,would not,is,is,No,Looks,0,,
,male,19,would not,I will be reincarnated,Environment,At times,Family/Friends,bad,,1,did not,Single,Computer,,,,,,Optimistic,1,Neither,would not,Oldest,I don't have a pet,,,,,,,,,7,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is,,,,,,
Newport Rhode Island United States,male,28,would,I will go to heaven or hell,Proper diet,Constantly,Exercise,good,Do,10,did,Married,Tablet,Obedient,Intelligence,Strict,More free time,10,Optimistic,20,Dad,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Work,Safe,Do not,Photo albums,Barack Obama,60,Naturally,Often,Seldom,Other,Would,Have,Do not,have not,would,is not,is,No,Personality,24,,
Boston,male,24,would not,I will go to heaven or hell,Proper diet,At times,Prayer,bad,Do,3,did not,Single,Computer,Obedient,Nothing,Strict,Better romance,4,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Place of worship,Safe,Do not,Electronics,Mitt Romney,,,,,,,,,,,,,,,,,
Sydney,male,38,would,I will go to heaven or hell,Environment,Constantly,Exercise,good,Do,2,did,Married,SmartPhone,Obedient,Intelligence,Strict,More money,2,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Family member,Seldom,Never,Being unprepared,Would not,Have,Do,have,would not,is not,is,Yes,Sexual ability,35,,
Bellingham Massachusetts United States,male,29,would,Nothing. Game over.,Proper diet,At times,Family/Friends,good,Do not,1,did,Single,Computer,Obedient,Appearance,Strict,Better romance,14,Optimistic,1,Dad,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would not,is not,is,Yes,Intelligence,0,,
Tulare California United States,female,28,would not,I will go to heaven or hell,Religion,Constantly,Alcohol/Drugs,bad,,1,,Married,Computer,Obedient,Intelligence,Strict,,1,Optimistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????  ????,female,18,would not,My spirit will return home,Environment,Sometimes,Music/Art,good,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,More free time,3,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Family member,Never,Never,Being unprepared,Would,Have not,Do not,have not,,is not,is,,All of the above,0,,
,male,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,32,would not,My spirit will return home,Environment,At times,Family/Friends,bad,Do,1,did,Divorced,Print media,Obedient,Nothing,Strict,Better romance,12,Optimistic,2,Both about equally,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,,60,Alarm clock,Seldom,Seldom,Other,Would not,,Do,have not,,is not,is,,,33,,
Kansas City Missouri United States,male,31,would,I will go to heaven or hell,Proper diet,Sometimes,Family/Friends,good,Do,1,did,Married,TV,Obedient,Intelligence,Strict,More money,2,Optimistic,2,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,8,Alarm clock,Often,Seldom,Being unprepared,Would,Have not,Do not,have not,would not,is not,is,No,Nothing,24,,
Brussels,male,56,would not,Nothing. Game over.,Genes,Constantly,Alcohol/Drugs,good,Do,3,did not,Married,Computer,,Intelligence,,Better health,8,,2,Dad,would not,Oldest,Can-opener,,Do,,Home,,Do not,Other,Barack Obama,6,Alarm clock,Often,Often,Flying,Would not,Have not,Do,have,would,is not,is not,Yes,Personality,19,,
,male,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trujillo,male,31,would,My spirit will return home,Proper diet,At times,Music/Art,bad,Do,2,did,Single,Computer,,Immunity,,Better job,4,,4,Both about equally,would,Youngest,Playmate,,Do,,Home,,Do,Other,Barack Obama,5,Alarm clock,Often,Seldom,Other,Would,Have not,Do,have,would,is not,is not,Yes,Nothing,0,,
,male,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia,male,40,would not,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,good,Do not,1,did not,Married,Computer,Obedient,Intelligence,Strict,Better health,2,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Other,Barack Obama,7,Family member,Often,Seldom,Flying,Would not,Have not,Do not,have,would,is not,is,Yes,Intelligence,33,,
Hamilton Waikato New Zealand,male,18,would not,I will be reincarnated,Environment,Sometimes,Family/Friends,bad,Do,1,did,Cohabitating,Tablet,Obedient,Appearance,Strict,More money,1,Optimistic,0,Both about equally,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,8,Alarm clock,Often,Often,Being unprepared,Would,Have not,Do not,have,would,is not,is,No,Nothing,0,,
S�dert�lje  Sverige,male,37,would,Nothing. Game over.,Genes,Constantly,Family/Friends,good,Do,2,did not,Cohabitating,SmartPhone,Obedient,Intelligence,Strict,More money,3,Optimistic,1,Mom,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,6,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have,would not,is not,is,Yes,Looks,0,,
,male,38,would,I will go to heaven or hell,Genes,Constantly,Exercise,good,,2,did not,Divorced,SmartPhone,Obedient,Immunity,Strict,Better romance,14,Optimistic,1,Both about equally,would,Youngest,I don't have a pet,,,,,,,,,,,,,,,,,,,,,,,,,
Oslo Norge,male,41,would,Nothing. Game over.,Proper diet,Never,Exercise,good,Do,20,did not,Married,SmartPhone,Obedient,Nothing,Strict,Better romance,1,Optimistic,4,Mom,would not,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,70,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Sexual ability,36,,
,male,49,would,I will go to heaven or hell,Exercise,Sometimes,Exercise,bad,,4,did,Married,SmartPhone,Obedient,Nothing,Strict,Better job,0,Optimistic,1,Mom,would not,Middle,I don't have a pet,,,,,,,,,,Naturally,Seldom,Often,Other,Would not,Have not,Do,have,would,is not,is,No,Nothing,25,,
Rockwall Texas United States,male,18,would not,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,Better romance,3,Optimistic,2,Dad,would,Middle,Owner,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,8,Alarm clock,Seldom,Often,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Personality,25,,
,male,30,,,,,,,,,,,,Obedient,Intelligence,Strict,More money,3,Optimistic,1,Both about equally,would,Middle,Can-opener,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley  United Kingdom,male,18,would,I will go to heaven or hell,Exercise,At times,Music/Art,good,Do,2,did,Single,Computer,Obedient,Intelligence,Strict,More money,12,Optimistic,2,Both about equally,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Money,Barack Obama,7,Alarm clock,Never,Often,Other,Would,Have not,Do not,have,would not,is,is,Yes,All of the above,0,,
Melbourne Victoria Australia,male,53,would not,Nothing. Game over.,Genes,Never,Family/Friends,good,Do,2,did,Married,Tablet,Obedient,Intelligence,Strict,Better health,1,Optimistic,2,Dad,would,Oldest,Peer,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Alarm clock,Seldom,Seldom,Being chased,Would not,Have not,Do,have,would not,is not,is not,No,Nothing,31,,
,,,would,Nothing. Game over.,Proper diet,Constantly,Exercise,good,Do,2,did not,Single,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,0,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do,have not,would,is,is,Yes,Personality,0,,
,male,27,would not,Nothing. Game over.,Exercise,At times,Music/Art,good,Do not,4,did not,Single,Computer,Obedient,Intelligence,Strict,More money,10,Optimistic,2,Neither,would not,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Money,Mitt Romney,7,Alarm clock,Never,Never,Other,Would not,Have not,Do,have not,would,is not,is,Yes,Intelligence,0,,
C�rdoba C�rdoba Argentina,male,19,would,Nothing. Game over.,Environment,Never,Music/Art,bad,Do,2,did,Single,Computer,,Immunity,Strict,Nothing,6,Optimistic,1,Both about equally,would not,Oldest,Playmate,Untrustworthy,Do,,Home,Safe,Do,Electronics,Barack Obama,7,Family member,Seldom,Often,Being chased,Would not,Have,Do not,have,would,is not,is not,Yes,Nothing,,,
Stillwater Oklahoma United States,male,31,would,I will go to heaven or hell,Religion,At times,Prayer,good,Do,1,did,Married,SmartPhone,Obedient,Nothing,Strict,Nothing,3,Optimistic,2,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,7,Alarm clock,Seldom,Seldom,Being chased,Would,Have,Do not,have not,would,is not,is,No,Nothing,23,,
Berlin,male,34,would not,Nothing. Game over.,Exercise,At times,Family/Friends,good,Do,3,did,Married,SmartPhone,Obedient,Intelligence,Strict,More money,2,Optimistic,1,Dad,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,8,Alarm clock,Often,Seldom,Being unprepared,Would,Have not,Do not,have,would,is,is,No,Nothing,34,,
,male,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
??? ??? ??,male,37,would not,My spirit will return home,Exercise,Constantly,Exercise,bad,,20,did not,Married,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London  United Kingdom,male,33,would not,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do,3,did,Single,Computer,Obedient,Nothing,Strict,More money,12,Optimistic,1,Mom,would,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,80,Alarm clock,Often,Often,Other,Would not,Have,Do not,have not,would,is,is,Yes,Sexual ability,0,,
,male,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria,male,18,would not,I will go to heaven or hell,Exercise,Constantly,Prayer,bad,Do,3,did not,Single,Computer,Obedient,Intelligence,Strict,More free time,10,Optimistic,1,Neither,would not,Youngest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,5,Alarm clock,Seldom,Often,Naked in public,Would,Have,Do not,have not,would,is not,is,No,Personality,,,
Canton Georgia United States,male,45,would not,I will go to heaven or hell,Proper diet,At times,Work,bad,Do,1,did,Married,Computer,Obedient,Lifespan,Strict,More money,2,Optimistic,2,Dad,would,Middle,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,,,,,,,,,,,,,,,,,
,,,would not,Nothing. Game over.,Genes,Sometimes,Alcohol/Drugs,good,Do not,1,did,Single,Computer,Obedient,Intelligence,Strict,Better job,12,Optimistic,0,Neither,would not,Oldest,Playmate,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,8,Alarm clock,Seldom,Seldom,Flying,Would,Have,Do not,have not,would,is,is,No,Nothing,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona Catalu� Espa�,male,30,would,Nothing. Game over.,Exercise,Constantly,Family/Friends,bad,Do,4,did,Single,Computer,Obedient,Nothing,Strict,Better health,5,Optimistic,1,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Work,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Seldom,Often,Falling,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,0,,
,male,29,would not,Nothing. Game over.,Proper diet,Never,Family/Friends,good,Do,1,did not,Married,Computer,Obedient,Immunity,Strict,Better job,2,Optimistic,1,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
Arlington Tennessee United States,male,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Florida United States,male,22,would,My spirit will return home,Exercise,At times,Music/Art,good,Do,1,did,Cohabitating,Computer,Obedient,Nothing,Strict,More free time,6,Optimistic,3,Dad,would,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do not,Money,Mitt Romney,7,Naturally,Often,Often,Other,Would not,Have,Do,have,would,is not,is,Yes,Personality,28,,
Broken Arrow Oklahoma United States,male,29,would not,I will go to heaven or hell,Proper diet,At times,Music/Art,bad,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More money,2,Optimistic,1,Mom,would not,Youngest,Owner,Untrustworthy,Do,More,Work,Safe,Do not,Other,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would,Have,Do not,have not,would,is not,is,No,Sexual ability,23,,
,female,43,would not,My spirit will return home,Proper diet,Constantly,Family/Friends,bad,Do,2,did,Married,Computer,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Both about equally,would not,Youngest,I don't have a pet,,Do,More,Home,,Do,Photo albums,,,,,,Other,,,,,,,,,,,,
,male,34,would,Nothing. Game over.,Exercise,Constantly,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Immunity,Strict,More money,8,Optimistic,2,Dad,would,Middle,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,7,Naturally,Seldom,Seldom,Being unprepared,Would not,Have,Do not,have,would not,is not,is,Yes,Nothing,32,,
Providence,male,52,would not,My spirit will return home,Proper diet,Constantly,Exercise,good,Do,1,did,Married,Computer,Obedient,Appearance,Strict,More money,2,Optimistic,2,Dad,would,Oldest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
Chennai Tamil Nadu India,male,30,would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do,2,did not,Single,Computer,Obedient,Immunity,Strict,More money,4,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Naturally,Seldom,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,30,,
,male,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangalore Karnataka India,male,22,would not,I will be reincarnated,Exercise,Constantly,Exercise,bad,,3,did not,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,male,28,would not,I will go to heaven or hell,Exercise,At times,Prayer,good,Do,2,did not,Cohabitating,Computer,Obedient,Nothing,Strict,More money,5,Optimistic,2,Both about equally,would,Middle,I don't have a pet,Untrustworthy,Do,More,Place of worship,Safe,Do,Money,,8,Family member,Often,Often,Other,Would,Have,Do,have not,would,is,is not,Yes,All of the above,,,
